Fragment,Count,Time (ms),Size (bytes)
Cross.list-byid-imagingstudies-xml,2,2,0
Cross.list-byid-immunizationevaluations,2,0,0
Cross.list-byid-immunizationevaluations-json,2,2,0
Cross.list-byid-immunizationevaluations-xml,2,2,0
Cross.list-byid-immunizationrecommendations,2,0,0
Cross.list-byid-immunizationrecommendations-json,2,2,0
Cross.list-byid-immunizationrecommendations-xml,2,2,0
Cross.list-byid-immunizations,2,0,0
Cross.list-byid-immunizations-json,2,0,0
Cross.list-byid-immunizations-xml,2,2,0
Cross.list-byid-implementationguides,2,1,486
Cross.list-byid-implementationguides-json,2,2,496
Cross.list-byid-implementationguides-xml,2,3,494
Cross.list-byid-insuranceplans,2,0,0
Cross.list-byid-insuranceplans-json,2,1,0
Cross.list-byid-insuranceplans-xml,2,1,0
Cross.list-byid-invoices,2,0,0
Cross.list-byid-invoices-json,2,2,0
Cross.list-byid-invoices-xml,2,3,0
Cross.list-byid-libraries,2,0,0
Cross.list-byid-libraries-json,2,1,0
Cross.list-byid-libraries-xml,2,2,0
Cross.list-byid-linkages,2,0,0
Cross.list-byid-linkages-json,2,1,0
Cross.list-byid-linkages-xml,2,2,0
Cross.list-byid-lists,2,0,0
Cross.list-byid-lists-json,2,0,0
Cross.list-byid-lists-xml,2,1,0
Cross.list-byid-locations,2,1,1184
Cross.list-byid-locations-json,2,2,1234
Cross.list-byid-locations-xml,2,2,1224
Cross.list-byid-measurereports,2,1,0
Cross.list-byid-measurereports-json,2,1,0
Cross.list-byid-measurereports-xml,2,2,0
Cross.list-byid-measures,2,0,0
Cross.list-byid-measures-json,2,1,0
Cross.list-byid-measures-xml,2,1,0
Cross.list-byid-media,2,0,0
Cross.list-byid-media-json,2,1,0
Cross.list-byid-media-xml,2,2,0
Cross.list-byid-medicationadministrations,2,0,660
Cross.list-byid-medicationadministrations-json,2,0,670
Cross.list-byid-medicationadministrations-xml,2,2,668
Cross.list-byid-medicationdispenses,2,0,0
Cross.list-byid-medicationdispenses-json,2,1,0
Cross.list-byid-medicationdispenses-xml,2,2,0
Cross.list-byid-medicationknowledges,2,0,0
Cross.list-byid-medicationknowledges-json,2,1,0
Cross.list-byid-medicationknowledges-xml,2,1,0
Cross.list-byid-medicationrequests,2,0,0
Cross.list-byid-medicationrequests-json,2,0,0
Cross.list-byid-medicationrequests-xml,2,1,0
Cross.list-byid-medications,2,0,0
Cross.list-byid-medications-json,2,0,0
Cross.list-byid-medications-xml,2,2,0
Cross.list-byid-medicationstatements,2,0,0
Cross.list-byid-medicationstatements-json,2,2,0
Cross.list-byid-medicationstatements-xml,2,2,0
Cross.list-byid-medicinalproductauthorizations,2,0,0
Cross.list-byid-medicinalproductauthorizations-json,2,2,0
Cross.list-byid-medicinalproductauthorizations-xml,2,2,0
Cross.list-byid-medicinalproductcontraindications,2,0,0
Cross.list-byid-medicinalproductcontraindications-json,2,1,0
Cross.list-byid-medicinalproductcontraindications-xml,2,2,0
Cross.list-byid-medicinalproductindications,2,0,0
